"Annual Rate of Population Increase by Province or County, Sex,"
"statistical indicator and Census Year"

" "," "," ","1841","1851","1861","1871","1881","1891","1901","1911","1926","1936","1946","1951","1956","1961","1966","1971","1979","1981","1986","1991","1996","2002","2006","2011"
"State"
" ","Both sexes"
" "," ","Population (Number)",6528799,5111557,4402111,4053187,3870020,3468694,3221823,3139688,2971992,2968420,2955107,2960593,2898264,2818341,2884002,2978248,3368217,3443405,3540643,3525719,3626087,3917203,4239848,4588252
" "," ","Population Change since previous Census (Number)",..,-1417242,-709446,-348924,-183167,-401326,-246871,-82135,-167696,-3572,-13313,5486,-62329,-79923,65661,94246,389969,75188,97238,-14924,100368,291116,322645,348404
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-24.2,-14.8,-8.2,-4.6,-10.9,-7.4,-2.6,-3.7,-0.1,-0.4,0.4,-4.2,-5.6,4.6,6.5,15.5,11.1,5.6,-0.8,5.6,13.0,20.0,15.9
" ","Male"
" "," ","Population (Number)",3222485,2494478,2169042,1992468,1912438,1728601,1610085,1589509,1506889,1520454,1494877,1506597,1462928,1416549,1449032,1495760,1693272,1729354,1769690,1753418,1800232,1946164,2121171,2272699
" "," ","Population Change since previous Census (Number)",..,-728007,-325436,-176574,-80030,-183837,-118516,-20576,-82620,13565,-25577,11720,-43669,-46379,32483,46728,197512,36082,40336,-16272,46814,145932,175007,151528
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-25.3,-13.9,-8.5,-4.1,-10.1,-7.1,-1.3,-3.6,0.9,-1.7,1.6,-5.9,-6.4,4.5,6.4,15.6,10.6,4.6,-1.8,5.3,13.1,21.8,13.9
" ","Female"
" "," ","Population (Number)",3306314,2617079,2233069,2060719,1957582,1740093,1611738,1550179,1465103,1447966,1460230,1453996,1435336,1401792,1434970,1482488,1674945,1714051,1770953,1772301,1825855,1971039,2118677,2315553
" "," ","Population Change since previous Census (Number)",..,-689235,-384010,-172350,-103137,-217489,-128355,-61559,-85076,-17137,12264,-6234,-18660,-33544,33178,47518,192457,39106,56902,1348,53554,145184,147638,196876
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-23.1,-15.7,-8.0,-5.1,-11.7,-7.6,-3.9,-3.8,-1.2,0.8,-0.9,-2.6,-4.7,4.7,6.5,15.4,11.6,6.6,0.2,6.0,12.8,18.2,17.9

